Set,Bonafide Or Spoof,Language,Singer,Title,Model,Url
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_062,N/A,https://example.invalid/mock/training/bonafide/062
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_063,N/A,https://example.invalid/mock/training/bonafide/063
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_064,N/A,https://example.invalid/mock/training/bonafide/064
Training,bonafide,Mandarin,GEM,GEM_mock_track_065,N/A,https://example.invalid/mock/training/bonafide/065
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_066,N/A,https://example.invalid/mock/training/bonafide/066
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_067,N/A,https://example.invalid/mock/training/bonafide/067
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_068,N/A,https://example.invalid/mock/training/bonafide/068
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_069,N/A,https://example.invalid/mock/training/bonafide/069
Training,bonafide,Mandarin,GEM,GEM_mock_track_070,N/A,https://example.invalid/mock/training/bonafide/070
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_071,N/A,https://example.invalid/mock/training/bonafide/071
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_072,N/A,https://example.invalid/mock/training/bonafide/072
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_073,N/A,https://example.invalid/mock/training/bonafide/073
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_074,N/A,https://example.invalid/mock/training/bonafide/074
Training,bonafide,Mandarin,GEM,GEM_mock_track_075,N/A,https://example.invalid/mock/training/bonafide/075
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_076,N/A,https://example.invalid/mock/training/bonafide/076
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_077,N/A,https://example.invalid/mock/training/bonafide/077
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_078,N/A,https://example.invalid/mock/training/bonafide/078
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_079,N/A,https://example.invalid/mock/training/bonafide/079
Training,bonafide,Mandarin,GEM,GEM_mock_track_080,N/A,https://example.invalid/mock/training/bonafide/080
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_081,N/A,https://example.invalid/mock/training/bonafide/081
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_082,N/A,https://example.invalid/mock/training/bonafide/082
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_083,N/A,https://example.invalid/mock/training/bonafide/083
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_084,N/A,https://example.invalid/mock/training/bonafide/084
Training,bonafide,Mandarin,GEM,GEM_mock_track_085,N/A,https://example.invalid/mock/training/bonafide/085
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_086,N/A,https://example.invalid/mock/training/bonafide/086
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_087,N/A,https://example.invalid/mock/training/bonafide/087
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_088,N/A,https://example.invalid/mock/training/bonafide/088
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_089,N/A,https://example.invalid/mock/training/bonafide/089
Training,bonafide,Mandarin,GEM,GEM_mock_track_090,N/A,https://example.invalid/mock/training/bonafide/090
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_091,N/A,https://example.invalid/mock/training/bonafide/091
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_092,N/A,https://example.invalid/mock/training/bonafide/092
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_093,N/A,https://example.invalid/mock/training/bonafide/093
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_094,N/A,https://example.invalid/mock/training/bonafide/094
Training,bonafide,Mandarin,GEM,GEM_mock_track_095,N/A,https://example.invalid/mock/training/bonafide/095
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_096,N/A,https://example.invalid/mock/training/bonafide/096
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_097,N/A,https://example.invalid/mock/training/bonafide/097
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_098,N/A,https://example.invalid/mock/training/bonafide/098
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_099,N/A,https://example.invalid/mock/training/bonafide/099
Training,bonafide,Mandarin,GEM,GEM_mock_track_100,N/A,https://example.invalid/mock/training/bonafide/100
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_101,N/A,https://example.invalid/mock/training/bonafide/101
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_102,N/A,https://example.invalid/mock/training/bonafide/102
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_103,N/A,https://example.invalid/mock/training/bonafide/103
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_104,N/A,https://example.invalid/mock/training/bonafide/104
Training,spoof,English,GEM,GEM_mock_track_001,Sovits4.0,https://example.invalid/mock/training/spoof/001
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_002,DiffSinger,https://example.invalid/mock/training/spoof/002
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_003,DiffSinger,https://example.invalid/mock/training/spoof/003
Training,spoof,English,Li_Jian,Li_Jian_mock_track_004,RVC,https://example.invalid/mock/training/spoof/004
Training,spoof,English,Na_Ying,Na_Ying_mock_track_005,so-vits-svc,https://example.invalid/mock/training/spoof/005
Training,spoof,English,GEM,GEM_mock_track_006,Sovits4.0,https://example.invalid/mock/training/spoof/006
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_007,DiffSinger,https://example.invalid/mock/training/spoof/007
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_008,DiffSinger,https://example.invalid/mock/training/spoof/008
Training,spoof,English,Li_Jian,Li_Jian_mock_track_009,RVC,https://example.invalid/mock/training/spoof/009
Training,spoof,English,Na_Ying,Na_Ying_mock_track_010,so-vits-svc,https://example.invalid/mock/training/spoof/010
Training,spoof,English,GEM,GEM_mock_track_011,Sovits4.0,https://example.invalid/mock/training/spoof/011
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_012,DiffSinger,https://example.invalid/mock/training/spoof/012
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_013,DiffSinger,https://example.invalid/mock/training/spoof/013
Training,spoof,English,Li_Jian,Li_Jian_mock_track_014,RVC,https://example.invalid/mock/training/spoof/014
Training,spoof,English,Na_Ying,Na_Ying_mock_track_015,so-vits-svc,https://example.invalid/mock/training/spoof/015
Training,spoof,English,GEM,GEM_mock_track_016,Sovits4.0,https://example.invalid/mock/training/spoof/016
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_017,DiffSinger,https://example.invalid/mock/training/spoof/017
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_018,DiffSinger,https://example.invalid/mock/training/spoof/018
Training,spoof,English,Li_Jian,Li_Jian_mock_track_019,RVC,https://example.invalid/mock/training/spoof/019
Training,spoof,English,Na_Ying,Na_Ying_mock_track_020,so-vits-svc,https://example.invalid/mock/training/spoof/020
Training,spoof,English,GEM,GEM_mock_track_021,Sovits4.0,https://example.invalid/mock/training/spoof/021
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_022,DiffSinger,https://example.invalid/mock/training/spoof/022
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_023,DiffSinger,https://example.invalid/mock/training/spoof/023
Training,spoof,English,Li_Jian,Li_Jian_mock_track_024,RVC,https://example.invalid/mock/training/spoof/024
Training,spoof,English,Na_Ying,Na_Ying_mock_track_025,so-vits-svc,https://example.invalid/mock/training/spoof/025
Training,spoof,English,GEM,GEM_mock_track_026,Sovits4.0,https://example.invalid/mock/training/spoof/026
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_027,DiffSinger,https://example.invalid/mock/training/spoof/027
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_028,DiffSinger,https://example.invalid/mock/training/spoof/028
Training,spoof,English,Li_Jian,Li_Jian_mock_track_029,RVC,https://example.invalid/mock/training/spoof/029
Training,spoof,English,Na_Ying,Na_Ying_mock_track_030,so-vits-svc,https://example.invalid/mock/training/spoof/030
Training,spoof,English,GEM,GEM_mock_track_031,Sovits4.0,https://example.invalid/mock/training/spoof/031
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_032,DiffSinger,https://example.invalid/mock/training/spoof/032
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_033,DiffSinger,https://example.invalid/mock/training/spoof/033
Training,spoof,English,Li_Jian,Li_Jian_mock_track_034,RVC,https://example.invalid/mock/training/spoof/034
Training,spoof,English,Na_Ying,Na_Ying_mock_track_035,so-vits-svc,https://example.invalid/mock/training/spoof/035
Training,spoof,English,GEM,GEM_mock_track_036,Sovits4.0,https://example.invalid/mock/training/spoof/036
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_037,DiffSinger,https://example.invalid/mock/training/spoof/037
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_038,DiffSinger,https://example.invalid/mock/training/spoof/038
Training,spoof,English,Li_Jian,Li_Jian_mock_track_039,RVC,https://example.invalid/mock/training/spoof/039
Training,spoof,English,Na_Ying,Na_Ying_mock_track_040,so-vits-svc,https://example.invalid/mock/training/spoof/040
Training,spoof,English,GEM,GEM_mock_track_041,Sovits4.0,https://example.invalid/mock/training/spoof/041
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_042,DiffSinger,https://example.invalid/mock/training/spoof/042
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_043,DiffSinger,https://example.invalid/mock/training/spoof/043
Training,spoof,English,Li_Jian,Li_Jian_mock_track_044,RVC,https://example.invalid/mock/training/spoof/044
Training,spoof,English,Na_Ying,Na_Ying_mock_track_045,so-vits-svc,https://example.invalid/mock/training/spoof/045
Training,spoof,English,GEM,GEM_mock_track_046,Sovits4.0,https://example.invalid/mock/training/spoof/046
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_047,DiffSinger,https://example.invalid/mock/training/spoof/047
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_048,DiffSinger,https://example.invalid/mock/training/spoof/048
Training,spoof,English,Li_Jian,Li_Jian_mock_track_049,RVC,https://example.invalid/mock/training/spoof/049
Training,spoof,English,Na_Ying,Na_Ying_mock_track_050,so-vits-svc,https://example.invalid/mock/training/spoof/050
Training,spoof,English,GEM,GEM_mock_track_051,Sovits4.0,https://example.invalid/mock/training/spoof/051
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_052,DiffSinger,https://example.invalid/mock/training/spoof/052
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_053,DiffSinger,https://example.invalid/mock/training/spoof/053
Training,spoof,English,Li_Jian,Li_Jian_mock_track_054,RVC,https://example.invalid/mock/training/spoof/054
Training,spoof,English,Na_Ying,Na_Ying_mock_track_055,so-vits-svc,https://example.invalid/mock/training/spoof/055
Training,spoof,English,GEM,GEM_mock_track_056,Sovits4.0,https://example.invalid/mock/training/spoof/056
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_057,DiffSinger,https://example.invalid/mock/training/spoof/057
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_058,DiffSinger,https://example.invalid/mock/training/spoof/058
Training,spoof,English,Li_Jian,Li_Jian_mock_track_059,RVC,https://example.invalid/mock/training/spoof/059
Training,spoof,English,Na_Ying,Na_Ying_mock_track_060,so-vits-svc,https://example.invalid/mock/training/spoof/060
Training,spoof,English,GEM,GEM_mock_track_061,Sovits4.0,https://example.invalid/mock/training/spoof/061
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_062,DiffSinger,https://example.invalid/mock/training/spoof/062
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_063,DiffSinger,https://example.invalid/mock/training/spoof/063
Training,spoof,English,Li_Jian,Li_Jian_mock_track_064,RVC,https://example.invalid/mock/training/spoof/064
Training,spoof,English,Na_Ying,Na_Ying_mock_track_065,so-vits-svc,https://example.invalid/mock/training/spoof/065
Training,spoof,English,GEM,GEM_mock_track_066,Sovits4.0,https://example.invalid/mock/training/spoof/066
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_067,DiffSinger,https://example.invalid/mock/training/spoof/067
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_068,DiffSinger,https://example.invalid/mock/training/spoof/068
Training,spoof,English,Li_Jian,Li_Jian_mock_track_069,RVC,https://example.invalid/mock/training/spoof/069
Training,spoof,English,Na_Ying,Na_Ying_mock_track_070,so-vits-svc,https://example.invalid/mock/training/spoof/070
Training,spoof,English,GEM,GEM_mock_track_071,Sovits4.0,https://example.invalid/mock/training/spoof/071
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_072,DiffSinger,https://example.invalid/mock/training/spoof/072
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_073,DiffSinger,https://example.invalid/mock/training/spoof/073
Training,spoof,English,Li_Jian,Li_Jian_mock_track_074,RVC,https://example.invalid/mock/training/spoof/074
Training,spoof,English,Na_Ying,Na_Ying_mock_track_075,so-vits-svc,https://example.invalid/mock/training/spoof/075
Training,spoof,English,GEM,GEM_mock_track_076,Sovits4.0,https://example.invalid/mock/training/spoof/076
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_077,DiffSinger,https://example.invalid/mock/training/spoof/077
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_078,DiffSinger,https://example.invalid/mock/training/spoof/078
Training,spoof,English,Li_Jian,Li_Jian_mock_track_079,RVC,https://example.invalid/mock/training/spoof/079
Training,spoof,English,Na_Ying,Na_Ying_mock_track_080,so-vits-svc,https://example.invalid/mock/training/spoof/080
Training,spoof,English,GEM,GEM_mock_track_081,Sovits4.0,https://example.invalid/mock/training/spoof/081
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_082,DiffSinger,https://example.invalid/mock/training/spoof/082
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_083,DiffSinger,https://example.invalid/mock/training/spoof/083
Training,spoof,English,Li_Jian,Li_Jian_mock_track_084,RVC,https://example.invalid/mock/training/spoof/084
Training,spoof,English,Na_Ying,Na_Ying_mock_track_085,so-vits-svc,https://example.invalid/mock/training/spoof/085
Training,spoof,English,GEM,GEM_mock_track_086,Sovits4.0,https://example.invalid/mock/training/spoof/086
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_087,DiffSinger,https://example.invalid/mock/training/spoof/087
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_088,DiffSinger,https://example.invalid/mock/training/spoof/088
Training,spoof,English,Li_Jian,Li_Jian_mock_track_089,RVC,https://example.invalid/mock/training/spoof/089
Training,spoof,English,Na_Ying,Na_Ying_mock_track_090,so-vits-svc,https://example.invalid/mock/training/spoof/090
Training,spoof,English,GEM,GEM_mock_track_091,Sovits4.0,https://example.invalid/mock/training/spoof/091
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_092,DiffSinger,https://example.invalid/mock/training/spoof/092
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_093,DiffSinger,https://example.invalid/mock/training/spoof/093
Training,spoof,English,Li_Jian,Li_Jian_mock_track_094,RVC,https://example.invalid/mock/training/spoof/094
Training,spoof,English,Na_Ying,Na_Ying_mock_track_095,so-vits-svc,https://example.invalid/mock/training/spoof/095
Training,spoof,English,GEM,GEM_mock_track_096,Sovits4.0,https://example.invalid/mock/training/spoof/096
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_097,DiffSinger,https://example.invalid/mock/training/spoof/097
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_098,DiffSinger,https://example.invalid/mock/training/spoof/098
Training,spoof,English,Li_Jian,Li_Jian_mock_track_099,RVC,https://example.invalid/mock/training/spoof/099
Training,spoof,English,Na_Ying,Na_Ying_mock_track_100,so-vits-svc,https://example.invalid/mock/training/spoof/100
Training,spoof,English,GEM,GEM_mock_track_101,Sovits4.0,https://example.invalid/mock/training/spoof/101
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_102,DiffSinger,https://example.invalid/mock/training/spoof/102
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_103,DiffSinger,https://example.invalid/mock/training/spoof/103
Training,spoof,English,Li_Jian,Li_Jian_mock_track_104,RVC,https://example.invalid/mock/training/spoof/104
Training,spoof,English,Na_Ying,Na_Ying_mock_track_105,so-vits-svc,https://example.invalid/mock/training/spoof/105
Training,spoof,English,GEM,GEM_mock_track_106,Sovits4.0,https://example.invalid/mock/training/spoof/106
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_107,DiffSinger,https://example.invalid/mock/training/spoof/107
Training,spoof,English,Zhou_Shen,Zhou_Shen_mock_track_108,DiffSinger,https://example.invalid/mock/training/spoof/108
Training,spoof,English,Li_Jian,Li_Jian_mock_track_109,RVC,https://example.invalid/mock/training/spoof/109
Training,spoof,English,Na_Ying,Na_Ying_mock_track_110,so-vits-svc,https://example.invalid/mock/training/spoof/110
Training,spoof,English,GEM,GEM_mock_track_111,Sovits4.0,https://example.invalid/mock/training/spoof/111
Training,spoof,English,Bella_Yao,Bella_Yao_mock_track_112,DiffSinger,https://example.invalid/mock/training/spoof/112
Validation,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_001,N/A,https://example.invalid/mock/validation/bonafide/001
Validation,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_002,N/A,https://example.invalid/mock/validation/bonafide/002
Validation,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_003,N/A,https://example.invalid/mock/validation/bonafide/003
Validation,bonafide,Mandarin,GEM,GEM_mock_track_004,N/A,https://example.invalid/mock/validation/bonafide/004
Validation,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_005,N/A,https://example.invalid/mock/validation/bonafide/005
Validation,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_006,N/A,https://example.invalid/mock/validation/bonafide/006
Validation,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_007,N/A,https://example.invalid/mock/validation/bonafide/007
Validation,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_008,N/A,https://example.invalid/mock/validation/bonafide/008
Validation,bonafide,Mandarin,GEM,GEM_mock_track_009,N/A,https://example.invalid/mock/validation/bonafide/009
Validation,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_010,N/A,https://example.invalid/mock/validation/bonafide/010
Validation,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_011,N/A,https://example.invalid/mock/validation/bonafide/011
Validation,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_012,N/A,https://example.invalid/mock/validation/bonafide/012
Validation,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_013,N/A,https://example.invalid/mock/validation/bonafide/013
Validation,bonafide,Mandarin,GEM,GEM_mock_track_014,N/A,https://example.invalid/mock/validation/bonafide/014
Validation,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_015,N/A,https://example.invalid/mock/validation/bonafide/015
Validation,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_016,N/A,https://example.invalid/mock/validation/bonafide/016
Validation,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_017,N/A,https://example.invalid/mock/validation/bonafide/017
Validation,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_018,N/A,https://example.invalid/mock/validation/bonafide/018
Validation,bonafide,Mandarin,GEM,GEM_mock_track_019,N/A,https://example.invalid/mock/validation/bonafide/019
Validation,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_020,N/A,https://example.invalid/mock/validation/bonafide/020
Validation,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_021,N/A,https://example.invalid/mock/validation/bonafide/021
Validation,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_022,N/A,https://example.invalid/mock/validation/bonafide/022
Validation,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_023,N/A,https://example.invalid/mock/validation/bonafide/023
Validation,bonafide,Mandarin,GEM,GEM_mock_track_024,N/A,https://example.invalid/mock/validation/bonafide/024
Validation,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_025,N/A,https://example.invalid/mock/validation/bonafide/025
